project,median monthly loc added or changed,median monthly contributors,median monthly commits,median monthly loc growth,median monthly % log growth,median yearly % loc growth
mod_perl,2,1,1,0,1.00010372,1.002118826
mod_python,0,0,0,0,1,1.000115252
mod_wsgi,163,1,7.5,28,1.002815509,1.07043752
modx,8864,5,151.5,459,1.002051736,1.166795728
moinmoin,1335,4,62,223,1.004568782,1.064945647
mojo,10704,15,198.5,3804,1.011115006,1.149479867
mongodb,16127,9,442,4119,1.0237812,1.959110385
mongrel,0,0,0,0,1,1
monit,0,0,0,0,1.000075364,1.015909643
mono,61571,33,646,20902,1.009532492,1.165710474
monodevelop,26929,10,358.5,5806,1.007380811,1.190844057
moodle,24662,25.5,857.5,4594,1.015632889,1.134766949
moose,776,6,39.5,262,1.013616024,1.463778163
MooTools,1843,7,48,39,1.001738039,1.062203047
moq,0,0,0,0,1,1.082066381
morphia,281,1,6.5,188,1.007814695,1.141864437
mozilla,767043,182,2915,48467,1.00426432,1.080200769
mozilla-addons,12099,13.5,441,5190,1.014673544,1.520014325
MozillaCalendar,9713,43,252,2786,1.005119946,1.161312663
mpc-hc,14103,6,59,942,1.001761487,1.000429933
mpd,1331,5,46.5,442,1.005035586,1.078069568
mpg123,258,2,14.5,89,1.000452254,1.054316587
mplayer,2384,11,148,157,1.001221129,1.022856753
msysgit,91,2,5,15,1.000029559,1.074478944
Mumble,6278,6.5,51,1556,1.009774735,1.797165313
munin,2430,14,54.5,671,1.013200521,1.424956231
mutt,38,2,4.5,15,1.00007013,1.010310337
MvcContrib,341,2,9,37,1.000039003,1.019635948
mylyn,7000,6,154.5,2901,1.01683311,1.226305399
mysql,193443,48.5,811.5,927,1.001077194,1.054779849
mysql-python,0,0,0,0,1,0.998354557
mythtv,63000,20,335.5,7056,1.011487445,1.204340432
nagios,555,2,15.5,130,1.001245124,1.048661404
nano,2,1,1,0,1.000173589,1.035072612
nant,72,1,6,25,1.00235224,1.052102202
nantcontrib,0,0,0,0,1,1.002943721
nautilus,1073,6.5,50,49,1.001338034,0.98797793
neooffice,5025,1,50,2420,1.010220162,1.379098816
netbeans,2058300,64,4415.5,54503,1.013882126,1.318735521
netbsd,70033,57,734,21094,1.002069646,1.046959888
netcat,0,0,0,0,1,1
nethack,0,0,0,0,1,1
netsnmp,5073,6,86.5,504,1.002311661,1.037813059
nette,2317,4,98.5,356,1.003504637,1.09373098
network-manager,11960,9,148,3320,1.017023077,1.379961899
nexuiz,0,0,0,0,1.000178987,1.154151052
Nexus,21839,8,195.5,4426,1.010373502,1.173956931
nginx,753,2,40.5,485,1.011487742,1.148387439
nhibernate,5268,4,60,1596,1.006633591,1.192056002
NHibernateContrib,1373,3,19,233,1.000167145,1.10453059
nlog,0,0.5,0.5,0,1,1.17542573
nltk,961,4,23,131,1.002111933,1.298840087
nmap,754379,9,269,236735,1.007755843,1.490501576
node_js,5924,21,167,1502,1.02464855,1.397465898
nooku,20675,6.5,427.5,788,1.003608571,3.52868088
notepad-plus,2408,1,21,741,1.003114139,1.101283155
nsis,199,2,11,59,1.001768331,1.335536214
ntfs-3g,0,0,0,0,1,1.012350916
ntp-pool,29,1,4,0,1.00007979,1.108615413
nuget,4508,7,104,803,1.012802988,1.231439978
numpy,4325,9,83,521,1.002567774,1.041103319
nunit,10499,2,46,1397,1.006443145,1.187508127
obm,31842,12,573.5,4353,1.010254218,1.289298323
ocaml,541,3,14,195,1.000730371,1.012080378
octave,18707,22,291.5,3592,1.006496876,1.089763199
ogre,10844,7,91,2792,1.007875294,1.289834139
ohcount,179,2,7,38,1.000733652,1.041879075
ohloh,216,2,8.5,53,1.001032746,1.034551478
okular,462,5,24.5,126,1.003807955,1.098846939
olat,20872,10,359,1852,1.000378054,1.029180431
openal,709,1,30.5,178,1.012558668,1.23778629
openbox,15,1,3,0,1.000264125,1.021904977
openembedded,9666,20,135,1330,1.001146593,2.110309819
openerp,332833,60,1611,4785,1.012268846,1.134694354
Openfire,295,2,10.5,57,1.000576234,1.078094918
OpenFlashChart,0,0,0,0,1,1.986427657
openjdk,124435,45,285.5,8197,1.002311036,1.025774565
openkomodo,8297,3,146.5,4274,1.001755756,1.151424092
openlayers,1577,7,65,610,1.008640011,1.151955014
openldap,975,5,47.5,381,1.00173089,1.030794946
openoffice,110468,17.5,580.5,6968,1.002867174,1.054234152
opensimulator,22565,12,220.5,3805,1.016209794,1.326433038
opensolaris,61145,129,278,16724,1.004120886,1.074939986
openssh,164,3,10,72,1.001172733,1.033103662
openssl,1907,3,44.5,982,1.0035621,1.052450209
opensso,22245,28,170,8581,1.014283602,1.316639875
openstack,130467,90.5,1276.5,18355,1.079626699,1.927024937
opensuse-linux,6122,24.5,168.5,1327,1.004132727,1.028507636
openttd,3632,8,185.5,655,1.005499962,1.121232367
openvpn,1074,3,60,468,1.001126754,1.055045133
openvz,2982,99,197,1003,1.000454607,1.056745838
openwrt,26287,18,408.5,3586,1.010025392,1.108218731
opscode-chef,6518,14,112.5,994,1.024410521,1.316386209
osCommerce,257,1,13,0,1.000058364,1.039528622
osm,43351,36,359,18163,1.011661393,1.731053805
Osmand,17979,9,191,4738,1.033973756,1.970525917
otrs,8623,9,155,2276,1.016664715,1.32493052
packetfence,4339,2,86,167,1.002527955,1.230853392
pacman,639,6,38,133,1.003713711,1.152603395
padre,13824,9,255,3100,1.017130819,1.826055353
pango,92,3,10,17,1.000557275,1.022349227
pardus-linux,114208,31,1348,32287,1.029553143,2.133587915
parrot,18222,19,318,63,1.006926604,1.080013763
passenger,3342,2,56,643,1.004218125,1.762346736
passwordsafe,3704,3,52.5,1019,1.012316109,1.443377791
paste,0,1,1,0,1.000206037,1.07500295
patchutils,0,0,0,0,1,1.002416166
pciutils,0,0,0,0,1,1.03681021
pcre,425,1,10,66,1.002406822,1.087171651
Pcsx2,3262,5,62,381,1.000908147,1.074673312
pdfcreator,107,1,3,4,1.000148221,1.023772135
pear,101202,32,736,41565,1.014482631,1.224898015
perian,129,1,9.5,9,1.001468333,1.102776004
perl,33753,32,947,8020,1.003396899,1.06052705
perlcritic,114,2,9,23,1.000503018,1.00883879
pf,174,7,14.5,39,1.001216118,1.035214112
pgadmin,2984,3.5,29,561,1.003592513,1.128167492
phing,512,2,33.5,209,1.001769711,1.143918963
php,50892,57,803.5,9326,1.00546024,1.131356138
php-dropbox,0,0,0,0,1,1
php-js,1171,2,20,278,1.000820758,1.295525222
phpbb,4849,9,314,562,1.003822752,1.114695296
phpcs,255,1,33,164,1.006346828,1.119152524
phpDocumentor,0,0,0,0,1,0.99879373
phplist,242,1,30.5,62,1.001363243,1.055777588
phpmyadmin,19961,8,367.5,2169,1.008362774,1.185636982
phppgadmin,67,2,11.5,20,1.002023944,1.083788809
phpunit,957,3,79,100,1.002966381,1.007045629
picard,280,2,23,90,1.004272788,1.181002027
pidgin,16481,14.5,177,422,1.004556706,1.128454202
pil,0,0,0,0,1,1.008097643
pitivi,848,4,46.5,90,1.007049057,1.209127546
piwik,13359,6,393,4291,1.016230926,1.339023996
pkg-config,0,0,0,0,1,1.007013343
pkgsrc,8625,49,824.5,3157,1.00664433,1.101369817
playframework,2015,6,57,753,1.009876738,1.203842255
plone,9529,32,287.5,2365,1.018964655,1.295707081
pmd,1565,2.5,18.5,507,1.006648556,1.140092693
pmwiki,5,1,3.5,0,1.001054217,1.02428639
poe,57,1,5,5,1.0005382,1.012802402
poedit,5,1,2,0,1.000107959,1.006925804
poi,4453,3,45,1677,1.003918093,1.08313907
portableapps,1664,2,34,75,1.003292258,1.302963031
portupgrade,0,0,0,0,1,1.001267427
postgis,6446,5,105,2341,1.008734551,1.15417126
postgres,5579,9,123.5,1847,1.003959844,1.064595676
powertop,194,2.5,16.5,86,1.004179024,1.728302206
privoxy,377,1,19,81,1.000021742,1.007418886
processing,8757,5,82.5,1130,1.004380313,1.086553814
proftpd,3008,1,42,2085,1.003965149,1.112698932
proj4,9,1,2,3,1,1.035752798
propel,2278,3,85,466,1.001508858,1.076550702
prototype,68,2,8.5,4,1.001009475,1.079028918
psi,1670,2.5,26,349,1.001493847,1.054930839
psycopg,287,1,19,96,1.003541704,1.159431798
pulseaudio,1844,7,69.5,653,1.00272503,1.222105099
puppet,16082,13,229,1982,1.013607101,1.226384797
putty,66,1,6,27,1.000543407,1.035815012
py2exe,0,0,0,0,1,1.014951814
PyDev,6470,1.5,52,1240,1.006691518,1.210123109
pygame,4763,4,58.5,1247,1.002125235,1.083629647
pygments,672,3,19.5,179,1.00373783,1.156389829
pygtk,30,1,3,5,1.000317142,1.031586576
pylast,0,0,0,0,1,1.031319911
pylint,89,2,10,18,1,1.031825439
pylons,7976,6,128.5,1770,1.023870721,1.64984836
PyPi,29,1,5,21,1.001323182,1.135654571
pypy,124660,14,604.5,3405,1.011932964,1.423958137
python,21407,28,490.5,2333,1.002748564,1.066978877
python-nose,92,2,8,25,1.001478124,1.003289287
qemu,18538,44.5,352,5696,1.016269728,1.230578085
qjackctl,183,1,6,9,1.001140919,1.194824176
qt,590139,84,1389.5,9238,1.002523797,1.054892404
qt-creator,73925,32,579,15787,1.019261588,1.248981656
quantaplus,11,1.5,2.5,0,1.000007289,1.001379925
quartz,271,2,11,60,1.000739923,1.12149867
quassel,1499,4,26,334,1.005319568,1.132185108
quicksilver,0,0,0,0,1,1
rabbitmq,18424,9,315,871,1.012694441,1.400659839
rabbitvcs,234,1,6,81,1.002851345,1.379000781
rails,16727,65,379,1238,1.011678113,1.086524305
rake,23,1,3,0,1.000439899,1.148990322
rapidsvn,38,1,4,1,1.001299611,1.149695135
rdesktop,7,1,1,0,1.00021901,1.023236085
reactos,65221,19,365,14435,1.006451002,1.15476822
red5,1805,2,21,320,1.004761387,1.202181655
redcloth,0,0,0,0,1,1.010561684
redis,2461,4,71.5,924,1.022416114,1.723995207
redmine,1980,3,107.5,729,1.01455473,1.178910294
request-tracker,5399,7,206,1073,1.004262605,1.189572423
restlet,7547,4,88.5,1495,1.006751689,1.094907099
rhino,51,1,3.5,9,1.00122973,1.035172191
Rhythmbox,1996,5,35,244,1.003425371,1.115244358
richfaces,36170,11,328,10378,1.016320294,1.708005386
rmagick,0,0,0,0,1.001061748,1.022590492
rockbox,17631,25,247,4679,1.012002044,1.226059177
rome,0,0,0,0,1.000061999,1.137337752
rosegarden,3116,4,22,283,1.000619142,1.033397927
roundcube,3239,3,155.5,1044,1.010366284,1.201766335
roundup,75,2,6,29,1.002097934,1.114165978
rpm,639,3,57,-4,1,0.990369962
rproject,4678,8,150,849,1.002430827,1.036177463
rrdtool,95,1,10.5,34,1.000279622,1.024962044
rspec,3,1,2,0,1,0.914708887
rsync,86,1,7,42,1.001916465,1.056218789
rtorrent,99,1,4.5,32,1.006797704,1.056307266
ruby,7771,20,307,3105,1.005583868,1.119260113
rubygems,1,0.5,0.5,0,1.001631563,1.085383262
rygel,1480,3,58,278,1.019542299,1.489346647
sage,12606,39,189,138,1.001075679,1.651538024
samba,28496,25.5,697.5,4955,1.003774412,1.078251632
sane,1764,4.5,21,606,1.002319713,1.066227412
sauerbraten,1166,2,43,363,1.004372941,1.207753695
saxon,37,1,7,17,1.000009874,1.206003789
sbcl,1126,5,39,508,1.002177412,1.026656828
scala,9352,13,163,2494,1.020177981,1.239624088
scintilla,669,1,43.5,367,1.002234292,1.068400049
scipy,6659,9,64,1184,1.002331334,1.06722183
scite,193,1,28,62,1.00133251,1.036174847
scons,363,3,13,119,1.005757031,1.128046676
screen,0,0.5,0.5,0,1,1.003581259
ScrewTurnWiki,393,1,19,0,1,0.984012265
scribus,29377,4,80,4064,1.008379175,1.173230042
scriptaculous,0,0,0,0,1,1.119409433
scummvm,52905,24.5,616,7408,1.012446082,1.181557099
sdl,9785,5,90.5,502,1.000773031,1.043563953
seahorse,174,2,12.5,3,1.000172597,1.021312081
seam,18497,12,205,7394,1.022125039,1.40730304
seamonkey,9713,43,252,2769,1.002390488,1.07704567
secondlife-viewer,169271,24,448,7462,1.008642353,1.119488206
sed,1,1,1,0,1,1.000410576
selenium,21632,15,272,2827,1.007819249,1.063604078
selenium-ide,0,0,0,0,1,1
servicemix,5842,5,96.5,3407,1.009734998,1.124569132
SharpDevelop,28068,6,144,4080,1.007340027,1.132494418
sickbeard,2614,5,77.5,353,1.037873951,1.395452001
silverstripe,5969,10,305,785,1.00663356,1.168750221
simpletest,44,1,8,0,1.002784387,1.101107148
sinatra,922,4,41,234,1.010548701,1.383566419
sitracker,1880,3,119.5,218,1.002956047,1.152187237
skype4pidgin,30,1,2,9,1.001055365,1.155822056
slime,423,3,27.5,148,1.005338531,1.101455926
smart,560,2.5,16.5,161,1.003987308,1.052445936
smarty,184,1.5,15,47,3.875,7.75
smf,17987,5,209,3331,1.004706723,196.1694737
smplayer,19191,5,21,721,1.003280154,1.236975429
smslib,69,1,8,22,1.001029826,1.110630834
smultron,0,0,0,0,1,1.004750346
snehasrinivas,0,0,0,0,1,1.011712391
snort,4,1,3,0,1.001322477,1.133822499
soapui,2651,5,67,1373,1.004878347,1.101236604
sogo,4983,3,139,1625,1.007407272,1.187970145
solr,4834,9,82.5,2213,1.021880217,1.252181776
sonar,14922,5,217.5,976,1.003156387,1.020912119
songbird,9152,11,162,2599,1.010528458,1.127484094
sound-juicer,20,2,4,0,1.00109215,1.069199984
sox,311,2,12,48,1.000404346,1.023714365
spamassassin,180,2.5,13,100,1.00348067,1.070113876
sparkviewengine,1736,1,18,118,1.000102885,1.201920928
specs,152,1,4,12,1.003073394,1.464838122
sphinx,937,4,39.5,85,1.002703266,1.111189415
SPIP,2711,8,195,299,1.006000334,1.116523943
SPIP-Zone,119285,48,1268,43095,1.03017762,1.337044491
spring,44392,20,480.5,10244,1.015877268,1.626811496
spring_net,1783,2.5,17.5,751,1.007402882,1.30635809
springmodules,0,0,0,0,1,1.208492322
sqlalchemy,3924,4,71,623,1.013027783,1.305580914
sqlite,2624,4,100,614,1.005755836,1.080932005
sqlite-ruby,0,0,0,0,1,1
squid,18773,6,253,1079,1.001273746,1.027574755
squirrel-sql,5792,4,79,2858,1.004891237,1.166606999
squirrelmail,81,2,20,33,1.000680082,1.013247312
statusnet,11940,6.5,444,921,1.007838472,1.411931836
stellarium,7575,5,130.5,1196,1.002210145,1.053633614
strace,214,2,6.5,21,1.000316636,1.018286366
structuremap,71,1,3,11,1,1.022786076
struts1,0,0,0,0,1,1.000008721
struts2,648,2,19.5,291,1.001354286,1.171346068
stumpwm,16,1.5,3,0,1,1.27918491
subclipse,936,2,26.5,351,1.006420887,1.150210783
subversion,8795,18,357.5,2758,1.009135711,1.102636117
subversive,658,1,15.5,403,1.003605947,1.079080156
sudo,2042,1,57.5,360,1.002445186,1.087060474
sugarcrm,5454,1,6,1058,1.001220229,1.109680861
sunpinyin,179,3,10,0,1,1.186433809
supertux,82,2,4,9,1.002166233,1.172491842
svk,0,0,0,0,1.001828198,1.127565931
swig,1047,6,68,463,1.001321132,1.047133458
swt,2452,6,67.5,1018,1.005341745,1.110046862
symfony,16416,13,696,3989,1.006331505,1.103898502
synaptic,160,1,11.5,8,1.000156593,1.013274133
synergy,277,1,4.5,0,1,1.002661059
synergy-plus,290,1,7,0,1,0.986195875
tango,0,0,0,0,1,1.0209291
tapestry,7265,6,113,1672,1.003443532,1.052164793
tar,11,1,2,1,1.000303695,1.027171772
tcltk,8319,9,149,666,1.001555768,1.07139084
tcpdump,101,2,6,21,1.001132048,1.035767889
template-toolkit,0,0,0,0,1,1.0011307
Test-More,214,1,9,25,1.000320527,1.168453467
testng,1000,2,43.5,335,1.002920986,1.036566467
textmate_bundles,138,3,12,1,1.002273325,1.220620236
textpattern,343,2,33.5,124,1.003518906,1.057400591
thebuggenie,9839,3,190,834,1.002080795,1.007895205
thegrinder,306,1,8,49,1.002044881,1.042416774
thin,20,2,3,2,1.000085235,1.009941633
thunderbird,9713,42.5,258.5,2769,1.002634747,1.033091295
tidy,0,0,0,0,1,1.002208402
tig,90,1,11,20,1.001433075,1.289741131
tikiwiki,29842,18,560.5,5680,1.009742151,1.132327222
tine20,11219,5,672.5,3278,1.01937536,1.330990381
tinymce,1462,2,48.5,233,1.00334578,1.100277255
tinyxml,0,0,0,0,1,1.012126338
tmux,912,2,34.5,158,1.006688967,1.251584055
tomboy,132,3,11.5,19,1.001830757,1.062092624
tomcat,12695,7,332.5,4007,1.004613765,1.136784629
tor,9586,12.5,242.5,2513,1.022507477,1.397168079
tortoisecvs,0,0,0,0,1,1.009304566
tortoisegit,2598,2,81,841,1.001841001,1.117073775
tortoisehg,2536,8.5,145,378,1.01509327,1.736135802
tortoisesvn,2365,4,108,965,1.006755481,1.078359621
totem,640,5,30.5,32,1.004719453,1.002324194
toxiclibs,722,1,13.5,334,1.014536594,1.548881683
trac,683,4,41,293,1.009162146,1.272088163
trac-hacks,15666,22,169.5,8872,1.015487998,1.249279797
transmission,14254,3,143.5,723,1.007080641,1.292675844
TrinityCore,59357,23,372,6736,1.005158576,1.108247769
TrinityCore2,108202,23,744,10784,1.006145687,1.143519295
truecrypt,0,0,0,0,1,1
turbogears1,184,1,9.5,29,1.000518848,1.054393909
Tvalue,164,2,6,84,1.001699622,1.073275362
tweetsharp,3,1,1.5,0,1,1.018934039
twiki,1521,3,45.5,826,1.003585309,1.394578457
twisted,1409,5,28,598,1.004598786,1.041759928
twitterizer,408,1,7,61,1.001359309,1.614528102
typo3,14692,14,222,2193,1.002851598,1.175734075
ubercart,1224,2,48,283,1.002851909,1.128621128
ubuntu,16131,13,204.5,1140,1.00162083,1.0839704
udev,313,4,22.5,51,1.00361704,1.046823616
umbrello,863,2,7,75,1.001455729,1.11503926
unison,22,1,2,10,1.000277632,1.049144803
uzbl,2568,4,56,55,1.005136661,1.124985163
vaadin,76297,21,640,21714,1.005978006,1.125563677
vala,1906,6,56,835,1.005845178,1.304473791
valgrind,4363,4,76.5,2081,1.00542068,1.150489111
varnish,1530,4,64.5,282,1.007293751,1.335985559
vba,0,0,0,0,1,1
velocity,5,1,1,0,1.000006352,1.011399929
vi,0,0,0,0,1,1
viewvc,60,1,6,20,1.001593907,1.070351444
vim,1110,1,44,644,1.000510278,1.024267864
vimperator,443,4,21.5,37,1.001539758,1.273746781
virtualbox,76023,2,704.5,27654,1.004324284,1.660232961
virtualdub,0,0,0,0,1,1
virtuemart,5696,3.5,119.5,155,1.006042093,1.065431684
visualnunit,0,0,0,0,1,1.045294143
vlc,13102,29,440,2084,1.007323495,1.115447622
vnc-tight,0,0,0,0,1,1.00882203
vtk,43914,25,314.5,11473,1.004839291,1.229804102
vuze,3098,4,74.5,1307,1.009855137,1.309473444
w3m,0,0,0,0,1,1.000752847
webadmin,1082,1,51,522,1.001419724,1.030229565
WebKit,112894,116,2063.5,46485,1,1
weka,3784,2,33,2172,1.014046873,1.313094573
wesnoth,9652,16,263.5,2417,1.005029729,1.147520182
wget,93,3,6.5,27,1.013654147,1.303242031
wicket,4642,5.5,97,1021,1.000691983,1.048362741
wicketstuff,14627,10,77.5,4904,1.010858022,1.091707463
wiiflow,1235,1,5,0,1.003934255,1.228808794
windirstat,0,0,0,0,1,0.804375108
wine,31644,56.5,841.5,14230,1,1.065066137
winmerge,274,3,23,9,1.009301731,1.116898996
winscp,10,0.5,0.5,0,1.003859501,1.198315456
wireshark,29765,15,319,14467,1,1.107672132
wix,2329,1,14,0,1.010844152,1.151741028
wmii,17,1,3,2,1,1.180001128
wordpress,6400,6,550,999,1.000245806,1.052898392
wordpress-plugins,2814,7,97,1056,1.014019442,1.358057099
WordPressMU,0,0,0,0,1.011576135,1.423131756
wpa_supplicant,2673,8,67,1085,1,1.229907226
www-mechanize,0,0,0,0,1.004766522,1.130797127
wxpython,5394,2,21,1541,1,1.016806723
wxwidgets,9877,10,213,2033,1.000655352,1.050261832
x,24109,52,498.5,1966,1.002418008,1.021448747
x264,1428,6,29.5,374,1.002401235,1.059666475
xalan-j,0,0,0,0,1.008,1.12689704
xampp,0,0,0,0,1,1.000316694
xbmc,94698,27,502,6165,1,1.049302475
xcache,1,0.5,0.5,0,1.007797482,1.540629597
xchat,17,1,3,5,1.000053935,1.066871573
xchat-gnome,1,1,1,0,1.00072398,1.022617378
xdebug,60,1,7.5,19,1,1.02545283
xemacs,1343,3,18.5,3,1.001654261,1.048484959
xen,7502,8,173,1904,1.000419377,1.02189292
xerces-c,23,1,2,0,1.006483708,1.031650506
xerces2-j,70,1,5.5,30,1.00021485,1.008108421
xfce,4411,6,114,735,1.000456531,1.021458258
xine,990,5,59.5,211,1.005441312,1.052421275
xlib,68,3,6,3,1.00051975,1.033209151
xmms2,970,4.5,23.5,119,1.000025323,1.005732614
xmonad,1,1,1,0,1,1.007851319
xoops,353793,9,307,252880,1.004067673,1.374225349
xuggle,537,1,6,25,1,1.045675193
xulrunner,0,0,0,0,1.026845452,1.663812222
xunit,37,1,2,6,1.000132466,1.039745225
xvid,2,1,1,0,1,1.026529739
xwiki,28735,11,422,4567,1,0.885975027
yaf,20688,3,89,4021,1.0000452,1.037174328
yakuake,7,1,2,1,1.019590719,1.404206176
yii,4028,4,123.5,1184,1.010062293,1.404566879
yslow,0,0,0,0,1.000083445,1.102153506
yui,149192,13,493,13556,1.004069635,1.159270939
yui-compressor,0,0,0,0,1,1
yum,2454,4,148,996,1.050625163,2.067199565
zabbix,10914,6,173,2093,1,1.081984933
zend_framework,290086,28.5,1198.5,16876,1.009316013,1.208542741
zeoslib,832,1,6,143,1.014889736,1.254570247
zimbra,0,0,0,0,1.004511735,1.083606766
zlib,76,1,5.5,0,1.000346225,1.007433118
zodb,94,2,8.5,1,1,1
zope,2493,11.5,95.5,422,1,1.020982811
zope-cmf,220,3,13,78,1.00049503,1.008866129
zope3,607,9.5,50,183,1.001618402,1.01232025
zsh,165,2,11,88,1.003030851,1.042135137
zsnes,0,0,0,0,1.001460544,1.001538968
zxing,2116,3,40,1036,1.001252715,1.024607736
arquillian,5401,4,67.5,2223,1,1
web2project,5135,2,162,22,1.01146486,1.576560465
sitemesh,0,0,0,0,1,1
mwenhanced,26565,1,24,5,1.000189352,1.170464788
pharo,0,0,0,0,1,1.024661935
aquamacs,105046,38,866.5,3729,1.000013899,0.871163268
Jitsi,7806,6,101,3243,1,1.001486195
testng-eclipse,0,0,0,0,1.001817034,1.040587386
oh-my-zsh,10,2,3,0,1.018125876,1.312411083
bzr-svn,505,2,29,106,1,1.019285653
rakudo,1396,8.5,97.5,467,1,1.705840804
thunar,35,2,4,1,1.00877576,1.621604314
eclipse-mdt,15452,4,29,2258,1.025811696,1.837955959
puredata,8595,8,80,1559,1.000100571,1.016535618
upx,10,1,1.5,0,1.003891869,1.242800242
mediawiki-widgets,8,1,4,1,1.004634782,1.210444333
moodle_contrib,25753,18,164.5,12666,1.00067178,1.113783222
sabnzbdplus,1380,1,39.5,157,1,1.145658263
sass,1009,3,53,198,1.017055236,1.334490612
tremulous,168,2,6.5,2,1.003571613,1.03610025
etckeeper,7,1,2,2,1.022565935,1.51781665
django-registration,0,0,0,0,1.000449378,1.040201689
gnome-terminator,294,2,13,62,1.001754791,1.077245407
django-tagging,0,0,0,0,1,1
vip,0,0,0,0,1.009618707,1.270882353
salt,17530,20,328,1818,1,1.209977201
freenet,10711,8,340,1597,1,1.012211302
u-boot,37508,50,282,5065,1.109796093,32.11110903
telepathy,39116,17.5,675,8197,1.003980544,1.025791762
magpierss,0,0,0,0,1.006548658,1.104482139
heimdal,2097,3,69.5,365,1.021826828,1.64506577
tramp,78,1,9,18,1,1
anyedittools,0,0,0,0,1.002636917,1.082907598
factory-girl,99,2,4,38,1.002176972,1.049135551
zotero,8268,5,136,2764,1,1.512675328
calibre,43563,6,317.5,3882,1.016873592,1.664577958
pywebkitgtk,0,0,0,0,1.01296628,1.423980552
koha,4783,21,134.5,803,1.021518342,1.386968311
fail2ban,1,1,1,0,1,1.350364964
south,228,2,13.5,58,1.002933388,1.286691059
flightgear,6157,8,99.5,1627,1,1.116598669
pyflakes,0,0,0,0,1.010177778,1.17427598
fabric,397,2,28,78,1.00658805,1.092234518
gnome-cheese,215,3,17,11,1,1.117180688
xmobar,38,1.5,4,5,1.014462712,1.755455904
amsn,368,3.5,17.5,74,1.001884853,1.037669335
pyunit,0,0,0,0,1.002833664,1.258003049
ontowiki,8119,7,180,574,1.004221914,1.071447962
gedit-plugins,44,2,7,8,1,1
bbpress,2231,1,122.5,721,1.001488482,1.078197806
npgsql,99,1,4,45,1,1.138421612
apr,183,5,13,68,1.034980437,2.673620541
gnome-boxes,1045,4,67.5,400,1.003536068,1.267511619
mypaint,647,3,23.5,187,1.000554358,1.019396458
libusb,55,2,7,10,1.052416865,4.172780893
shoppingCart,0,0,0,0,1.013327449,1.392803598
facter,265,4,13,85,1.000115263,1.142113465
shell-fm,18,1,3,6,1,1
PackageKit,6526,8,103.5,365,1.009962049,1.453258844
m2e-android,273,1,9,3,1.001855665,1.108901142
prosody,1370,4,90,375,1.004727214,1.227793723
gnome-shell,3050,15,106,950,1.000314861,0.590422438
moonlight,10386,10.5,296,4586,1.017215031,1.355016402
grml,884,6,56,144,1.01968679,1.39176947
shotwell,3753,4.5,47,1692,1.009447464,1.50588899
makehuman,4779,4,57.5,907,1.002624748,1.305536416
mahout,4498,4,37,1144,1.035808012,1.795978172
adminer,702,1,96.5,281,1.025923557,1.670592264
zc-buildout,5,1,2,0,1.016828263,1.197009831
htmlpurifier,39,1,6,17,1.010238908,1.321261895
drush,1163,4,117,258,1.000523423,1.099764864
cobbler,1089,6,43,87,1.001872882,1.02720864
desmume,3046,4,39.5,947,1.012696594,1.049559471
blazeblogger,5,1,1.5,0,1.00495953,1.267438001
petals,31031,10,270.5,4313,1.009038076,1.593340164
anaconda,2252,10,132.5,272,1,1.026441574
telepathy-gabble,6025,6,162.5,894,1.01714998,1.248699521
habari,1686,7,140,417,1.00316357,0.992866617
xcb,90,3,9,13,1.019687795,1.280080034
bitbake,551,4,44,141,1.012927683,1.188590878
sysresccd,0,0,0,0,1.000546614,1.050426251
offlineimap,6,1,2,1,1.006123699,1.267479359
zim,2122,2,20,607,1,1.287062873
m2r10,0,0,0,0,1,1.028380974
tt-rss,520,1,42,132,1.022713201,1.430680049
serendipity,3991,4,52,2023,1,1.040346661
systemd,5537,13.5,197,3298,1.00511509,1.726772893
milkthecow,0,0,0,0,1.010046702,1.311458406
python-babel,0,0,0,0,1.038545415,1.635488818
flask,146,4,12,108,1,1.26943557
ikiwiki,770,3,43.5,166,1,1.031128878
sphinxsearch,3221,3,51.5,1183,1.018454441,1.774221453
ndiswrapper,0,0,0,0,1.014455461,1.592454518
dssi,0,0,0,0,1.016921355,1.563160568
websvn,25,1,5,1,1.000085139,1.020664411
clutter,5990,9,106,1754,1,1.01007326
qvm86,0,0,0,0,1,1.32668791
webpy,26,1,4,9,1.017467788,1.764792855
stgit,81,1.5,6,8,1,1
epydoc,0,0,0,0,1.002701891,1.12134592
akka,41427,9,239,1872,1.005236185,1.28382957
quickcheck,0,0,0,0,1,1.045867231
recordmydesktop,0,0,0,0,1.03932206,1.918564244
projecthamster,217,2,17.5,44,1,1.027701912
cvsweb,0,0,0,0,1,1
lxml,95,1,8.5,51,1.004569892,1.315108611
comix,0,0,0,0,1,1
commons-codec,21,1,2,4,1.003811321,1.212850098
racket,72464,21.5,825,10815,1,1
perl-xml-simple,0,0,0,0,1,1.138335961
god,17,1,4,0,1.003534506,1.046108105
wampserver,0,0,0,0,1,1.003562654
yaws,529,2,16,201,1,1.022646725
ies4linux,0,0,0,0,1,1
haddock,244,3,14,10,1.002805052,1.122293683
cppcheck,5660,8,159,2357,1,1
func,95,2,6,27,1.001058771,1.084013253
MINA,122,1,7,3,1.037311074,1.906640615
bluecloth,0,0,0,0,1.001427513,1.184957554
