project,median monthly loc added or changed,median monthly contributors,median monthly commits,median monthly loc growth,median monthly % log growth,median yearly % loc growth
commons-logging,0,0,0,0,1,1.075551962
compass,1054,4,32,268,1.0290111,1.71752451
compiz,10814,6,203,451,1.005877124,1.094366097
compiz-fusion,5867,9,247.5,3293,1.015918753,1.155690325
config,7,1,2,2,1.000758312,1.0168131
conky,413,2,20,40,1.002825395,1.106016663
connectbot,152,1,6,20,1,1.000706069
coreutils,580,6,45,215,1.003052217,1.03672086
couchdb,2168,6,51,721,1.015729817,1.312435357
courier,3,1,1,0,1.000135196,1.008661386
cpan,88,2,12,14,1.000553431,1.016710847
cpio,0,0,0,0,1,1.011054343
cppunit,0,0,0,0,1,1.003695534
cruisecontrol,2181,3,24,1249,1.008896109,1.291002237
CruiseControlRuby,16,1,2,0,1.000044802,1.01238243
cs,24208,8,116.5,5405,1.006491372,1.169247385
ctags,5,1,1.5,2,1.000114308,1.09141072
cucumber,1012,6,31,49,1.002184945,1.043222735
cups,2120,1,52,617,1.000876652,1.022262848
curl,1633,8.5,87,786,1.007646695,1.134316227
cvs,0,0,0,0,1,1.034228391
cxf,9919,9,139.5,4961,1.011629777,1.332581378
cyberduck,3316,1,88,254,1.004756885,1.12468498
cygwin,1164,4,49,279,1.000269149,1.004730553
cyrus-imap,1910,2,66,341,1.000423606,1.012589186
cython,1916,6,88.5,444,1.010342536,1.22120885
datamapper,723,4,30,31,1.000528272,1.02660774
db4o,19320,6,93,5360,1.010955743,1.118138162
dbix-class,1385,8,42.5,479,1.011160636,1.253165378
dbunit,44,1,4.5,26,1.00015184,1.071075791
dbus,377,4,18,68,1.002687177,1.044527436
dd-wrt,975571,3,241.5,464516,1.004837808,1.402918344
ddd,0,0,0,0,1,1
deadbeef,8193,2,78,233,1.001525941,1.183435999
debian,2954014,287,3886,692381,1.023951864,1.325077109
debian-installer,1463,13,92.5,102,1.00341081,0.968148743
dejavu,0,0,0,0,1,1.002587992
deluge,3021,4,80,375,1.005973341,1.07024524
derby,3687,8,51,1968,1.004154047,1.063804585
dia,768,1,18,193,1.00160071,1.083821975
dibi,174,1,12,35,1.008392078,1.212085288
diffutils,0,0,0,0,1,1.002370397
digikam,23926,19,410,4639,1.010549753,1.127550265
django,2559,9.5,111.5,1212,1.013145812,1.330930999
djbdns,0,0,0,0,1,1
docbook,1796,4,21,491,1.002156941,1.156810236
doctrine,11461,11.5,363,2036,1.01673958,1.258091894
docutils,380,2,10,56,1.003166357,1.112251474
dojo,16195,17,342.5,7205,1.019914444,1.368463877
dokuwiki,2054,13,99,463,1.010516752,1.145365925
dolphin,982,8,51.5,198,1.004611706,1.188251249
dom4j,0,0,0,0,1,1
dosbox,200,2,11,81,1.002140143,1.047815876
dotnetopenauth,4847,1,62,410,1.002707955,1.314106344
dotproject,41,1,7.5,0,1.00094249,1.08257062
dovecot,4922,1,144.5,2262,1.012648858,1.207499003
DownThemAll,551,1,23.5,50,1.003866452,1.086853906
doxygen,1175,1,8,632,1.002548734,1.04449038
dpkg,842,4,55.5,140,1.002051463,1.12103152
drupal,13882,4,630,4296,1.008816981,1.126746259
drupal-contributions,91,1,13.5,21,1.005201163,1.119624754
dtango,891,3,20,91,1.000694756,1.049538697
dvdrip,0,0,0,0,1,1.028365835
dwm,11,1,3,0,1,1.064135454
dwr,225,2,16,73,1.001195698,1.046931563
e17,7685,11,129,1580,1.006159054,1.111488903
easymock,5,1,1,0,1,1.568854964
easytag,0,0.5,0.5,0,1,0.902362564
eclemma,15,1,2,0,1.000321958,1.175238334
eclipse,25741,33.5,483.5,4854,1.005934728,1.134863449
eclipse-cs,35,1,3,0,1.000092297,1.061258253
eclipse-gef,1290,3,30,341,1.003539468,1.110573973
eclipse-gmp,871,2,11,62,1.001500338,1.092971571
eclipse-jdt,6765,12,139,3722,1.004341309,1.067569604
eclipse-wtp,98532,24.5,363,17290,1.006885965,1.312401699
egit,6567,11,97.5,2817,1.030921683,1.538589735
ehcache,3671,10,72,1244,1.011471679,1.349744829
ejabberd,625,4,31.5,39,1.004542729,1.18378551
ekiga,681,3,39.5,34,1.001063066,1.0825019
elgg,4682,4,206,915,1.008434548,1.956677567
elinks,64,2,5.5,3,1.000198367,1.013047551
elmah,49,1,4,5,1.000348554,1.303688304
emacs,36479,33,470,2236,1.002185043,1.04444465
emma,0,0,0,0,1,1
empathy,4742,10,143.5,816,1.01104266,1.253025315
enigmail,197,1,13,4,1.001065605,1.047027683
eog,192,3,16,19,1.001221118,1.021732805
epiphany,884,5.5,34,95,1.0036205,1.033219025
equinox,23296,27,270,5786,1.013323204,1.296923269
erlang,43769,25,309,6825,1.002862469,1.091394247
evince,604,5,24.5,140,1.002507714,1.067539586
evolution,21353,16,242.5,3074,1.002791947,1.030478196
exaile,989,3,29,100,1.002917255,1.131313368
exim,46,1,5,16,1.000407599,1.047237295
expat,0,0,0,0,1,1.009540795
extjs,0,0,0,0,1,1.547240318
eZPublish,22464,10,324,4136,1.006479528,1.201268307
f-spot,698,3,16.5,0,1.001134825,1.049087925
facebook-pidgin,7,1,1.5,0,1,1.248535778
facelets,0,0,0,0,1,1.000627368
fallenswordhelper,521,2,12,75,1.003075006,1.103887919
fcitx,447,1,11.5,89,1,1.099582367
fedora-packages,7923,67,284.5,3801,1.017087473,1.336333582
fetchmail,24,1,4,0,1.000037059,1.011739234
ffdshow,13070,4,50.5,687,1.001035271,1.175795264
ffmpeg,13897,42.5,607.5,4517,1.010853552,1.167208332
file,49,1,5,13,1.000632845,1.036662385
filezilla,722,1,29,226,1.005141057,1.091699284
findbugs,2875,2,78,877,1.011812047,1.244815613
findutils,4,1,2,0,1,1.017615821
Fink,488,5,23.5,76,1.001302901,1.034457293
firebird,10715,10,196,743,1.000502015,1.008491142
firebug,2926,5,132.5,892,1.014488224,1.18815738
firefox,765971,183,2670.5,43472,1.00850621,1.271505345
FirePHP,4,1,2,0,1,1.232005337
flac,0,0,0,0,1,1.005075777
flex,0,0,0,0,1,1
FlexSDK,2148,2.5,13,547,1.000127886,1.104193038
fluent-nhibernate,703,3,15.5,243,1.003211078,1.202205993
fluxbox,95,2,5,0,1.000791644,1.011035157
flyspray,0,0,0,0,1.00009333,1.058416001
fontconfig,15,1,3,1,1.000039395,1.041808723
fop,1577,4,23,646,1.003341914,1.109770025
formencode,1,0.5,1,0,1.000035489,1.045099158
Foswiki,136783,12,814,37136,1.003397472,1.126255183
freebsd,47832,70,561.5,17883,1.004067175,1.065818697
freebsd-ports,23097,111.5,1859.5,4128,1.005457354,1.058383435
freeciv,2430,3,59,827,1.002583802,1.077922039
freemarker,32,1,3,1,1.00011796,1.042386326
freemind,1016,1,29,477,1.004121643,1.101862222
freepascal,1317,6,43.5,556,1.003384209,1.062154231
freerapid,4870,5,93,3136,1.024438567,1.368040174
freeswitch,69354,20,352.5,9406,1.005555879,1.179885304
freetype,313,3,18,88,1.000590633,1.022759806
freshmeat_aspectj,973,1,34.5,712,1.001660301,1.020652685
freshmeat_batik,3,1,1,0,1.000015661,1.000699995
fso,9078,7,166,3960,1.027200172,1.438153916
funambol,197,2,37,16,1.008615231,1164.458234
funbird,0,0,0,0,1,1
fundroid,1920,3,32,909,1.024376773,2.461430806
fuse,49,1,3,13,1.002503691,1.114265135
fvwm,1,1,1,0,1.000086583,1.008186905
gajim,3294,4,89,320,1.006746952,1.136905534
gallery,0,0,0,0,1.002675492,1.065368247
Gallio,11782,3,51,2420,1.003412844,1.237910079
ganttproject,1614,1,25,83,1.002059508,1.058447671
gawk,1783,1,39.5,224,1.001873108,1.140456454
gcc,55452,70.5,664.5,19682,1.006584261,1.113293605
gconf,13,2,2,3,1.000027088,1.018645773
gdal,7397,7,144,4662,1.006261401,1.086562106
gdb,16944,32,226.5,7366,1.003131938,1.068288467
geany,4022,4,84,533,1.00702602,1.076257069
Gears,0,0,0,0,1,1.200026313
gedit,682,4,25.5,20,1.00075288,1.008831081
gendarme,476,2,10.5,233,1,1.088656199
genshi,0,0,0,0,1.000349101,1.086515354
gentoo,144107,206,5381.5,14725,1.006058708,1.079514503
geoserver,0,0,0,0,1,1
geotools,26150,12,124.5,9661,1.000797044,1.030723191
gerrit,3996,7,80.5,1352,1.019001465,1.327210221
GeSHi,669,1,22.5,440,1.00827997,1.172673271
gettext,93,1,7,8,1.000126915,1.003245118
ghc,3771,10,121.5,525,1.00235218,1.037709772
ghostscript,15087,14.5,110.5,2510,1.00122863,1.140897173
giggle,8,1,3,0,1,1.101640705
gimp,4840,9,131,1402,1.001998618,1.02797744
git,14712,42,358,2529,1.014576125,1.27854813
git-gui,32,1.5,3.5,14,1.001145694,1.032549993
gitextensions,13399,7,94,1460,1.016208889,1.433690068
gitx,0,0,0,0,1,1
gkrellm,0,0,0,0,1,1.005840057
gksu,0,0,0,0,1,1
glade,425,2,10.5,64,1.001204045,1.072428268
glassfish,23561,42,290,5531,1.005237956,1.094937106
glib,4610,19.5,101.5,1898,1.005621559,1.135901901
glibc,3062,12,80.5,1048,1.001654874,1.019391734
gnome,244571,231.5,3793,47985,1.008379133,1.101695857
gnome-do,2474,5,43,359,1.006539029,1.250779361
gnome-terminal,136,2,11.5,12,1.000125415,0.965778288
gnome-tracker,7463,7.5,155.5,1576,1.005706985,1.045921387
GnomeVFS,0,0,0,0,1,1.001436225
gnucash,8093,5,65.5,1783,1.001600742,1.069063716
gnumeric,2367,4,63.5,582,1.001858089,1.022579799
gnupg,973,2,14.5,374,1.002460746,1.05872124
gnuplot,610,2,30.5,241,1.00146142,1.019716094
gnus,335,5.5,22.5,93,1.001683113,1.027754079
gnutls,2366,2,53,536,1.004088148,1.160889178
go,20915,29.5,300,9753,1,1.149773809
google-guice,1546,2,19,670,1.001824947,1.21836597
googleappengine,8334,1,5,4981,1.031139132,1.829491652
gparted,186,2,13.5,55,1.000104768,1.004441271
gqview,0,0,0,0,1,1
