projectName,year,month,sum_loc_added,sum_loc_deleted,sum_commits,median_contributors,max_loc_total,sum_abs_loc_growth,prod_loc_growth_factor,age
upx,2006,12,617966,522933,1304,3.,96196,68631,3.681841272397489420546763969294499491607782790107803318267441477436305563844930652229104652839138132891451047208809144799318638592000,6
R-project_,1997,12,11566,7502,211,5,86801,4064,1.0491194991382725729585063965479524,0
lxde,2009,12,254874,217504,1532,10.,185259,35127,1.23397410277907098923872018193575423932910122351465731737944851248859146702119614783474881997428305868297703887873595323910294246146578440000,3
libogg,2013,12,38,18,2,0,43660,20,1.000458295142100,13
akeeba,2009,12,145768,83802,486,1.,158089,61966,1.64465320465156395364980847620372398956674195377093794413219699604096901598907470527716919139934976269207549354964285719781780411904000,1
coverage,2009,12,32394,17164,633,1,16356,14155,7.43116765182373206532683784165672114663784692050683775012075552816548197404563584312032094666752,0
Dancer_cpan,2009,12,11073,4142,182,3,4649,3705,4.92478813564504840364266801854545430258983790880760448,0
zc-buildout,2008,12,430,133,65,1.5,3274,297,1.099764863954509742027105583928448325699302758494429145753918432970711727497109461752532277069172581831168000,2
jelix,2011,12,20702,10152,780,3.5,95845,6768,1.075979209004406245728123027398135431837722460728633285509851878093787688644852970278307994616160433110850053977243333691390323571863754999595008,5
exist,2013,12,72884,34656,315,9,1036606,38224,1.03828594666067022648730431583093344848,10
nginx,2005,12,47710,26628,124,1.,58203,21082,1.56792651060966295303486533874782883605556460834775284338730278423240362640749987598916209552997881093713475330416769738460922842400000,3
openscada,2005,12,150399,118229,219,1.,108668,32170,1.420533870092639242661503047771666658115041952002401084620494721425314273475870153166963429965824000,2
gtk,1999,12,127193,111069,667,10.,211751,16124,1.096215584010690418322562123114981415836510854437886041104373099452045432393044816243997695603871853962242470291854858732111478747200,2
tine20,2007,12,3395873,3098806,893,3,558156,297067,2.173621207278560867449629480225159482015727514590957600,0
yaws,2009,12,18068,18459,345,3.,46095,-2239,0.9454221919009327392975956381723044076699683277115596725269888063152668233923561448142342264126642370443603442010099410391325085288347729920,7
biojava,2007,12,8918,2991,268,2.5,179594,5927,1.03412853334083162015045138005606362591365393907280028479306936652461870282658065822589070922735280915020601917983593111510671651948477154554967398400,7
pygame,2004,12,14805,7053,222,1.,103302,7752,1.08113029827389874659049645523057850851861638844443636651296369785645274596606049969376000000000000,4
heimdal,1994,12,1,1,1,0.,429,0,1.000000000000,2
quodlibet,2010,12,8158,3762,274,3.,32055,4312,1.155426594098595840983132342327478893709704912344596429481586916906948968902041189012757369034818788807091961140571628669638052970176000000,6
gqview,2001,12,0,0,0,0.,11111,0,1.000000000000,1
maven1,2007,12,1834,5245,86,0.,32813,-3411,0.902598515135407968786526702911596267434087077296488658534400000000,5
simpletest,2006,12,10566,12142,307,2.,49954,-1576,0.96941587425554899960591326349756033359759775256564745782834680640482964385109542407965731481039436547283305744000000000,3
yui,2008,12,706866,427842,4214,7.5,181325,171512,18.4780393354935694885653980670357687825719644553093939626837803547714388049325485664847254035111238299589343248460799560908800,1
xmpp4r,2011,12,2,2,1,0.,47780,0,1.000000000000,5
pld-linux,2013,12,25860,134,66,4,2884116,25704,1.0089924055730806001657839356959401036680,14
glib,2009,12,34577,14746,645,12.5,237945,19804,1.090785317754912178094360547968106301563473545205765142533457074551640309641192883437421844862117808883131350376423418264296573921810154720000000,11
translate-toolkit,2009,12,7932,15256,846,4.5,41802,-7324,0.82254742807096062263647323481184952777929151386179566559920319576850916972961907576595674420950494134610979160179672091498643891746242560,3
openarena,2011,12,0,0,0,0.,181628,0,1.0000,5
sqlalchemy-migrate,2010,12,8064,7504,85,1.,10472,534,1.053733145500156832404302934933633039812111178930750901814116526547991636974250325651442156746149965030508275200000,2
kaffeine,2010,12,17750,135160,255,1.,296268,-117410,0.597861380200054557207856923448192642148767133591654367417395856382161151347209105632977149534245298899109764792081621509258324514249694630445600000000,3
gzip,2005,12,0,0,0,0.,18671,0,1.000000000000,12
abiword,2003,12,172151,190874,2729,14.5,460047,-18723,0.957039406336068283297371297609950996561632840542050744589314518803924256208846993981565660795651821599279109956056647992650969600000000,5
grails,2007,12,252236,351507,5699,6.,417896,-99271,0.7303019435654041608186199181880915963991344565490559564339295525836173005134224871209064169886691777159158986438245775637621447520000,2
clojure,2008,12,33904,23932,719,1.,32248,9972,1.44765667084302100702268834118625177550122056329929190681416838957038250542064939390007865974310843147333668806804660174003120898048000,2
auctex,1992,12,1836,923,55,1.,1621,913,2.2895480226995850426107146861221321245451121503724854101003984645250000000000,1
gnome-boxes,2011,12,9083,4459,335,4,5454,4624,6.571084337276022643031665160364,0
okular,2003,12,12509,6042,196,5.,49702,4500,1.099553117131710617323020590052480907121877044891948433586093860431074981109039914731908198786147750077094400000,1
moodle,2012,12,1944028,1764576,14418,46.,703138,41534,1.064032634521701786900596989368051974164489888404527332653815810278835035036570313550472874441985509726319366686207038228915006103224320000,11
scalacheck,2007,12,3843,2939,76,1,1086,904,5.967032968120273926980674599354418247835039314126640835929192960,0
argouml,2004,12,127305,121428,1723,6.,275506,5877,1.021979624809432755515650158396001288576163599177041058340149058302629989400592357499120349014301652604678914934678121929102120399415932160000,6
emacs,1995,12,125129,39113,3461,11.,369929,86016,1.30296604951094057692075569886186394331015496157636630062419339131511319581980613998926030951118825495619801801673259399983033752359602200,10
jvcl,2002,12,995926,225150,844,5,833853,770776,13.219604610705810869793730320507591628571550067345409108221859302461309473835765081600,0
sysresccd,2003,12,13372,3993,282,2,10936,9379,7.02376364834409846501334853014328661338341173019200,0
bzflag,2000,12,911,389,40,1,50615,522,1.010420617650885684078481459334965179503782866509375289532272000000,0
CruiseControlRuby,2012,12,20,12,4,0.,19351,4,1.000206750400600000000000,5
mplayer,2003,12,328769,220130,2819,22.,384340,108639,1.397208836397604239669174258742161502703318534008340122739184029703536273725267256358397810443381557691799446808738495013742843290805600,2
cocos2d-iphone,2012,12,62529,36848,390,1.,153191,7794,1.05360495746153314957920000000000,4
libtorrent,2010,12,3559,1297,55,1.,25013,2262,1.09942420113220480813006447364733262793838377740065679811405273838674874000000,6
tcltk,2011,12,31512,28972,1141,7.,1234486,1148,1.000930897107254781174457362468980279803105158924159655109530678288400659075317719462658814662455043990070949579158370156510290330260408805902000,13
vim-ruby,2007,12,643,438,75,1.,2198,205,1.10286001004235676075444076181364822541227339857835484869988037704435363950183993857285720180000000,4
cyrus-imap,2000,12,316995,193760,5175,3.,616275,123235,1.249949294186856375220785356370132323184810840489443974074442387027819329091418001387822762193793005231073355806785517142009882632896320000,7
geeqie,2007,12,5358,2992,45,1.,70123,2366,1.034918901373365389549975775110527226828853871287213426230563621011838173080116794759600000,7
qcad,2007,12,0,0,0,0.,131333,0,1.000000000000,7
totem,2007,12,46402,35073,782,5.5,54870,11329,1.30069540289933945413918914012562737147635001107484141773551573507263510163257850587689480001810188752175445595564040105748290027520,5
avogadro,2011,12,72734,7040,285,3.,140387,30734,1.28028416913998778752895751480751739944375711923591949404250564009784916618511885518158917837501784532269764159622916800000,5
free-download-manager,2008,12,39628,105104,18,0.,295485,-65476,0.778411763700000000000,1
MvcContrib,2009,12,440173,175746,552,4.5,735943,106051,1.16836378295210455967441395380629275692906677476,0
perlcritic,2011,12,2093,1708,65,1.5,43943,385,1.0088387896600867816175433060770682903922685675203551838558882857170652744419035574918271586672744318301210408225280000,2
xiphos,2007,12,13440,16061,370,2.,67683,-2621,0.962719048696618777753132661993621429198303001208493548371369509494664919435963763197778329600000,7
commons-logging,2007,12,11199,955,149,0.5,19718,10244,2.081275068594199388566935662505216699918280853066903636534870037738720000000,5
passwordsafe,2013,12,0,0,0,0,306048,0,1.000,12
cxf,2010,12,69643,33018,1204,8.,560549,36625,1.0699051770849830024674934450445438365181240023654014206052757698674194928892222065332326538966321443604426083499305511366935890060816581836800,5
gnome-shell,2012,12,30323,31219,1859,20.5,80783,-896,0.988700849950582336737092189350428085274929212052327650099629788846717493723150886704374185767781905008140696252452686942486904997468816000000,4
maxima,2000,12,12905,866,24,1,134126,12039,1.098610007618460110164703441620121850688957392708632155824000,0
postgis,2008,12,60542,53125,654,3.5,137156,7417,1.05716862315697347536877374860711954629442774367256746192116086704756139326745073020972449487657560140357480022578551205691279606677379481600000,7
pardus-linux,2007,12,301372,259662,11321,23.5,232138,41710,1.2868204260423184549199692233932444021906868175517983656666474509230311095698534955589965912083122035733392402548167503501100384000000,2
re2c,2009,12,1982,1938,10,0.,248063,44,1.000177405763300000000000,5
j-wings,2010,12,452,298,33,1.,690833,154,1.0002229706054786860576564924281781749565680988873997854527452597645637049725195875190089723727033353735194976749350178913534201472000,10
umbrello,2012,12,21309,18079,448,2.,204742,3230,1.0160511250704307810450897183352175569600735167163450521019742326578068535713671157075012536606020910496106016177759700088432737946941076772215049350272,9
richfaces,2009,12,353069,270237,3539,15.,661109,72142,1.12248903589128611969184768344123171461048806505943609395224591775494328408016039084009462655813859610496715757454475657090403093646443520000,2
aptitude,2009,12,77831,26261,1224,2.,119863,37378,1.453149057343605385572016023721986965418394558914925122571992645282436957511960589856853740217492280584811469189810101730080000,10
tinyxml,2011,12,71,27,4,0.,5013,44,1.00885490038200000000000,10
mpd,2007,12,5061,2921,246,3.,27996,2140,1.0827852998115313613240533149364564652809886580956224188302390646764096873529175868456253127152669964548828456535357967490205468378344003448012800,3
weka,2013,12,6892,4508,94,2,534146,2384,1.0044832086540042605423660526244152111,5
virtuawin,2009,12,3011,969,25,0.,4703,2042,1.7673806840093226453180000000000,9
pygame,2003,12,21171,8790,291,1.,96243,12381,1.14886556292427601090428272982617652774683793906595180776840996761960162185532333028593459526814121849420732680233464000,3
tomboy,2013,12,256,142,10,1,44246,114,1.00258315961200,9
firestats,2006,12,3275,1398,211,1.5,14540,1877,1.1482271183779702124664,0
anjuta,2012,12,101738,96211,508,6.5,380144,5527,1.015118317860820768483985516107047581841334201048634325844636276739509061235137801454051502546981075959236872997526836024983300371279999710409735000,11
dbus,2005,12,52872,29786,517,4.,101858,23086,1.293073681008644071016231745771733643344755055773292586361434853581425958400491309113593993118924219572591949927006036296493398622337194800,3
hippositetoolkit,2008,12,60484,45690,500,6.,23169,14794,2.766447761103944491567858475336461016387033,0
spring,2008,12,1310127,888536,9375,17.5,698387,420327,2.5116413724104074494597565410495039394484297224372165639042675075215340760195337313437612973384626761295355268389244673682014142464000,4
buzztard,2005,12,46614,9494,644,2.,67240,37120,2.2324037183510662459141120802079872858984658515503009089544965559288096842824242798707414691475808947293335910948611217383337993700217600,3
