projectName,age,status,yearOfEvent
q4e,4,2,2011
paste,7,1,2012
specs,5,1,2012
prototype,5,1,2012
levent,10,1,2012
struts,6,1,2008
Python-Ogre,6,2,2012
eclipse-wtp,9,1,2012
mpd,8,1,2012
rails,8,1,2012
mythtv,10,1,2012
wso2carbon,4,1,2012
liferay,6,1,2012
connman,4,1,2012
free-download-manager,5,1,2012
scriptaculous,7,2,2012
db4o,7,1,2012
authlogic,4,1,2012
geoext,3,1,2012
gEDA,13,1,2012
Ace3,5,1,2012
netsurf,10,1,2012
diffutils,20,1,2012
olv,2,1,2012
blackbox,8,2,2009
hudson,6,1,2012
tryton,4,1,2012
xml-commons,11,1,2012
xapian,13,1,2012
poi,10,1,2012
shogun,6,1,2012
iptables,12,1,2012
func,5,1,2012
perl-ldap,12,1,2012
cassandra,3,1,2012
rockbox,10,1,2012
impresscms,4,1,2012
xuggle,3,1,2012
desmume,6,1,2012
maven-android-plugin,4,1,2012
fontmatrix,5,1,2012
kstars,11,1,2012
paperclip,5,1,2012
tcpdump,13,1,2012
mandriva-linux,13,1,2012
speex,9,2,2011
inferno-os,5,1,2012
shutter,4,1,2012
ramaze,6,1,2012
openafs,12,1,2012
musicbrainz-server,12,1,2012
clementine-player,2,1,2012
Fink,11,1,2012
storm,6,1,2012
catalyst,7,1,2012
commons-logging,10,1,2012
thunar,7,1,2012
py2exe,8,2,2009
firestarter,4,2,2004
wine,19,1,2012
pacman,7,1,2012
php-doc-translations,12,1,2012
latex,15,1,2012
openarena,5,1,2011
gconf,13,1,2012
gwt-maven,6,1,2012
phpundercontrol,5,2,2012
openbravo,5,1,2012
quilt,9,1,2012
shindig,4,1,2012
zikula,2,1,2012
ack,6,1,2012
ncmpcpp,4,1,2012
bluecove,6,2,2012
ogreal,4,2,2011
libxml2,14,1,2012
gutenprint,13,1,2012
jasig_uportal,12,1,2012
cappuccino,4,1,2012
tunnelblick,4,1,2012
squirrelmail,13,1,2012
i3geo,5,1,2012
dspam,8,1,2012
commons-beanutils,5,2,2012
aptitude,13,1,2012
mame,4,1,2012
twiki,12,1,2012
infinispan,3,1,2012
kdelibs,15,1,2012
qtractor,7,1,2012
bbdb,15,1,2012
fbc,7,1,2012
opscode-cookbooks,3,1,2012
ikiwiki,6,1,2012
merb,4,2,2012
vaadin,6,1,2012
sdl,13,1,2012
sickbeard,3,1,2012
urlrewrite,5,1,2012
synaptic,9,1,2012
latex-beamer,9,1,2012
e-texteditor,3,2,2012
hbase,5,1,2012
avahi,7,1,2012
spamassassin,8,1,2012
typo3-flow,4,1,2012
eclipse-gef,10,1,2012
TrinityCore,4,1,2012
visualnunit,3,2,2012
rack,5,1,2012
virtuemart,7,1,2012
ninesixtygridsystem,2,2,2012
webrat,4,1,2012
svg-edit,3,1,2012
ckeditor,1,1,2012
open-power-template,3,2,2012
camstudio,4,1,2012
tinyxml,11,2,2012
xine,11,1,2012
solr,6,1,2012
fest,5,1,2012
findutils,16,1,2012
cake-syrup,5,2,2012
phpbms,5,2,2011
requirejs,3,1,2012
facelets,6,1,2011
yasm,11,1,2012
iftop,10,2,2012
yaws,10,1,2012
wix,8,1,2012
asm,10,1,2012
poppler,7,1,2012
kolibrios,7,1,2012
Bombus,5,2,2010
bluecloth,8,2,2012
getk2,3,1,2012
factory-girl,4,1,2012
socat,4,1,2012
ufraw,7,1,2012
Slick,6,2,2012
werkzeug,5,1,2012
openrasta,3,1,2012
groovy,9,1,2012
lyx,13,1,2012
jelix,6,1,2012
automapperhome,3,1,2012
akeeba,4,1,2012
joomla-platform,3,1,2012
beautifulsoup,5,1,2012
akelos,6,2,2012
boto,6,1,2012
aspell,11,2,2012
L2Emu,2,2,2010
forrest,8,1,2012
innosetup,1,1,2012
swftools,11,1,2012
cpio,18,1,2012
kismac,6,2,2012
roundup,11,1,2012
freemarker,12,1,2012
nuget,2,1,2012
itk,12,1,2012
phptal,8,1,2012
joomfish,9,1,2012
pam-face-authentication,4,1,2012
blender,10,1,2012
zk,6,1,2012
php-js,4,1,2012
libgcrypt,15,1,2012
cia,5,1,2012
python-babel,5,1,2012
psi,5,1,2012
enblend,8,1,2012
smart,10,1,2012
h2database,5,1,2012
factor,5,1,2012
exherbo,5,1,2012
xmpp4r,6,2,2012
egit,3,1,2012
textpattern,8,1,2012
sdl_image,10,2,2010
php_beautifier,7,1,2012
nixpkgs,9,1,2012
gqview,7,2,2007
gitg,4,1,2012
freshmeat_apachejakartaregexp,12,2,2012
rmagick,8,2,2011
glassfish,1,1,2012
josm,7,1,2012
mixxx,10,1,2012
oprofile,12,1,2012
MediaPortal,8,1,2012
buildroot,10,1,2012
Riena,4,2,2012
launchy,6,2,2011
tigasexmpp,7,1,2012
bmpx,4,1,2009
bazaar,7,1,2012
b2evolution,9,1,2012
eclipse-scala-plugin,4,1,2012
ant,12,1,2012
aspnet-mvc,0,1,2012
hpricot,6,1,2012
cvs,17,2,2012
ctags,11,1,2012
opencsw,7,1,2012
SubtextProject,7,2,2012
iceweasel,4,1,2012
axiscommerce,4,1,2012
ultravnc,5,1,2012
scribite,4,1,2012
dtach,11,1,2012
libjpeg,4,2,2010
jspwiki,11,1,2012
cacti,5,1,2012
opensimulator,5,1,2012
chrome,4,1,2012
usbloader-gui,3,1,2012
mplayer,11,1,2012
jquerysheet,2,1,2012
mpg123,9,1,2012
poedit,12,1,2012
amanda,15,1,2012
mplayerosx,3,2,2006
sozi,2,1,2012
bigbluebutton,4,1,2012
spectrwm,3,1,2012
blazeblogger,3,2,2012
protobuf,4,1,2012
atl,8,1,2012
jbehave,3,1,2012
sox,13,1,2012
msysgit,5,1,2012
gobject-introspection,7,1,2012
glibc,23,1,2012
terminal,2,2,2004
geotools,10,1,2012
CruiseControlRuby,5,1,2012
passwordsafe,11,1,2012
springmodules,6,1,2011
iodine,6,1,2012
znc,8,1,2012
packetfence,4,1,2012
pysqlite,8,2,2012
elbe,6,1,2012
gnome-boxes,1,1,2012
ApacheRave,1,1,2012
apt,9,1,2012
opscode-chef,4,1,2012
telepathy-gabble,6,1,2012
sugar,6,1,2012
enigmail,11,1,2012
freetype,15,1,2012
roller,7,1,2009
strace,13,1,2012
xulrunner,5,2,2009
postgis,11,1,2012
memcached,9,1,2012
wine-doors,5,1,2011
m2eclipse,1,1,2012
simpletest,8,1,2011
eclipse-mdt,9,2,2012
snehasrinivas,8,2,2011
tabmixplus,1,1,2012
xfs,17,2,2010
python-markdown,6,1,2012
stellarium,10,1,2012
tellico,11,1,2012
openlp,5,1,2012
cdrdao,11,2,2011
ehcache-spring-annotations,2,2,2012
cubicweb,6,1,2012
gegl,12,1,2012
mpc-hc,6,1,2012
epydoc,8,2,2010
jmeter,14,1,2012
zeoslib,6,1,2012
filesync4eclipse,3,2,2012
yii,4,1,2012
flamerobin,8,1,2012
uClibc,12,1,2012
Weld,4,1,2012
openmrs,6,1,2012
dunit,12,1,2012
mercurial,7,1,2012
hydrogen,5,1,2012
freeimage,8,1,2012
wikka,7,1,2012
bluez,11,1,2012
mojo,8,1,2012
mono,11,1,2012
bash-completion,6,1,2012
SqueezeCenter,8,1,2011
evolution,14,1,2012
vncviewer,4,1,2010
pax-exam,4,2,2012
god,5,1,2012
vdrift,7,1,2012
pandoc,6,1,2012
lua,4,1,2012
iterm2,2,1,2012
nunit,12,1,2012
svnkit,7,1,2012
akka,3,1,2012
hibernate-search,5,1,2012
kid,3,1,2008
arora,4,1,2012
powermock,4,1,2012
mapbender,7,1,2012
vtiger,6,1,2012
wireshark,14,1,2012
cinepaint,8,2,2012
ruby-on-rails-tmbundle,5,2,2012
opensync,8,2,2012
freecol,8,1,2012
dnn,3,1,2012
ZenTest,2,2,2010
pmwiki,8,1,2012
calligra,14,1,2012
poky,7,1,2012
nmap,7,1,2012
libglade,12,2,2010
gnome-shell,4,1,2012
mifos,6,1,2012
duplicity,10,1,2012
wcv,5,1,2012
lucene,12,1,2012
jbpm,4,1,2012
gtkmm,9,1,2012
openredalert,3,2,2011
perlbal,8,1,2012
django-tagging,4,2,2011
django-extensions,5,1,2012
abcl,10,1,2012
sakai,6,1,2012
cairo,10,1,2012
i18n-zh,6,2,2012
south,4,1,2012
sauerbraten,8,1,2012
john-the-ripper,10,1,2012
byobu,3,1,2012
supertuxkart,5,1,2012
openttd,8,1,2012
reportlab,12,1,2012
fvwm,14,2,2012
pyccuracy,3,1,2012
libxslt,15,1,2012
freecad,1,1,2012
devhelp,11,1,2012
falcon,10,1,2012
cscope,12,1,2012
mongo-java-driver,3,1,2012
dotnetopenid,4,2,2011
gwibber,5,1,2012
pardus-linux,7,1,2012
junit,11,1,2012
cobertura,9,2,2012
openbabel,11,1,2012
pushbuttonengine,2,2,2011
JsonNET,5,1,2012
